data/training_data/raccoon-1.jpg 82,106,523,406,0
data/training_data/raccoon-10.jpg 144,7,450,495,0
data/training_data/raccoon-100.jpg 589,0,957,478,0
data/training_data/raccoon-101.jpg 108,60,396,352,0
data/training_data/raccoon-102.jpg 2,5,117,152,0
data/training_data/raccoon-103.jpg 113,60,459,537,0
data/training_data/raccoon-104.jpg 200,45,339,256,0
data/training_data/raccoon-105.jpg 287,69,718,619,0
data/training_data/raccoon-106.jpg 43,34,224,137,0
data/training_data/raccoon-107.jpg 201,85,483,554,0
data/training_data/raccoon-108.jpg 180,60,353,290,0
data/training_data/raccoon-109.jpg 13,4,172,213,0
data/training_data/raccoon-11.jpg 1,2,421,432,0
data/training_data/raccoon-110.jpg 55,19,164,259,0
data/training_data/raccoon-111.jpg 138,1,627,614,0
data/training_data/raccoon-112.jpg 188,182,770,519,0
data/training_data/raccoon-113.jpg 3,3,371,447,0
data/training_data/raccoon-114.jpg 269,44,507,265,0
data/training_data/raccoon-115.jpg 54,131,317,532,0
data/training_data/raccoon-116.jpg 3,1,434,431,0
data/training_data/raccoon-117.jpg 53,130,260,304,0 355,110,558,284,0
data/training_data/raccoon-118.jpg 125,38,307,211,0
data/training_data/raccoon-119.jpg 25,60,384,344,0 214,363,274,400,0 193,389,270,467,0
data/training_data/raccoon-12.jpg 28,20,126,173,0 90,39,231,195,0
data/training_data/raccoon-120.jpg 157,15,492,305,0
data/training_data/raccoon-121.jpg 80,45,384,340,0
data/training_data/raccoon-122.jpg 6,10,177,188,0
data/training_data/raccoon-123.jpg 309,50,479,381,0
data/training_data/raccoon-124.jpg 43,45,236,135,0
data/training_data/raccoon-125.jpg 28,6,247,186,0
data/training_data/raccoon-126.jpg 5,5,218,194,0
data/training_data/raccoon-127.jpg 133,60,205,149,0
data/training_data/raccoon-128.jpg 87,89,186,137,0
data/training_data/raccoon-129.jpg 153,29,427,260,0
data/training_data/raccoon-13.jpg 86,44,370,278,0
data/training_data/raccoon-130.jpg 246,75,479,289,0 463,169,639,426,0
data/training_data/raccoon-131.jpg 50,2,181,174,0
data/training_data/raccoon-132.jpg 13,5,227,125,0
data/training_data/raccoon-133.jpg 44,43,444,530,0
data/training_data/raccoon-134.jpg 133,89,188,164,0
data/training_data/raccoon-135.jpg 130,5,557,344,0
data/training_data/raccoon-136.jpg 56,28,200,187,0
data/training_data/raccoon-137.jpg 74,9,264,223,0
data/training_data/raccoon-138.jpg 64,61,214,142,0
data/training_data/raccoon-139.jpg 33,10,162,160,0
data/training_data/raccoon-14.jpg 272,89,513,427,0
data/training_data/raccoon-140.jpg 12,25,188,203,0
data/training_data/raccoon-141.jpg 3,3,151,173,0
data/training_data/raccoon-142.jpg 366,188,782,632,0
data/training_data/raccoon-143.jpg 52,51,225,147,0
data/training_data/raccoon-144.jpg 175,53,384,387,0
data/training_data/raccoon-145.jpg 71,56,311,293,0 262,131,549,424,0
data/training_data/raccoon-146.jpg 48,4,274,182,0
data/training_data/raccoon-147.jpg 52,2,423,467,0
data/training_data/raccoon-148.jpg 51,180,165,303,0 315,173,413,307,0
data/training_data/raccoon-149.jpg 169,71,300,237,0
data/training_data/raccoon-15.jpg 369,75,531,317,0
data/training_data/raccoon-150.jpg 103,73,168,161,0
data/training_data/raccoon-151.jpg 60,96,108,218,0
data/training_data/raccoon-152.jpg 62,66,217,149,0
data/training_data/raccoon-153.jpg 82,4,602,620,0
data/training_data/raccoon-154.jpg 197,126,468,326,0
data/training_data/raccoon-155.jpg 62,98,137,161,0
data/training_data/raccoon-156.jpg 42,37,131,214,0
data/training_data/raccoon-157.jpg 4,8,90,202,0
data/training_data/raccoon-158.jpg 83,37,251,167,0
data/training_data/raccoon-159.jpg 24,23,201,179,0
data/training_data/raccoon-16.jpg 138,214,331,592,0
data/training_data/raccoon-160.jpg 14,55,154,188,0
data/training_data/raccoon-161.jpg 229,85,368,179,0
data/training_data/raccoon-162.jpg 53,30,157,171,0
data/training_data/raccoon-163.jpg 13,19,238,120,0
data/training_data/raccoon-164.jpg 22,40,168,180,0
data/training_data/raccoon-165.jpg 45,13,193,215,0
data/training_data/raccoon-166.jpg 111,36,199,113,0
data/training_data/raccoon-167.jpg 4,8,161,196,0
data/training_data/raccoon-168.jpg 101,115,356,311,0 189,21,462,311,0
data/training_data/raccoon-169.jpg 271,0,534,404,0
data/training_data/raccoon-17.jpg 100,67,162,112,0
data/training_data/raccoon-170.jpg 72,34,250,166,0
data/training_data/raccoon-171.jpg 118,26,178,113,0
data/training_data/raccoon-172.jpg 253,61,393,250,0
